Street,Raw_Title,Number_of_Rooms,Price,Size_m2,District,URL,Latitude,Longitude,Dist_to_Metro_km,Nearest_Metro,District_Clean
Wileńska,"Apartament 2-pokojowy, ul. Wileńska",2.0,2700.0,40.83,Praga-Północ,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26603612.html",52.2585639,21.0409263,0.57,M2 - Szwedzka,Praga-Północ
Pańska,"Kawalerka umeblowana, ul. Pańska",1.0,3990.0,26.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/25811783.html",52.2332853,21.0018604,0.16,M2 - Rondo ONZ,Śródmieście
Mieszkanie umeblowane,Mieszkanie umeblowane,2.0,3300.0,38.8,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26610673.html",,,,,Śródmieście
Pokorna,"Apartament z garażem, ul. Pokorna",4.0,12500.0,90.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26665526.html",52.2548097,20.993034,0.34,M1 - Dworzec Gdański,Śródmieście
Kolejowa,"Apartament z garażem, ul. Kolejowa",3.0,5500.0,64.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/24035001.html",52.2264301,20.9843274,0.34,M2 - Rondo Daszyńskiego,Wola
Aleja Niepodległości,"Mieszkanie umeblowane, Aleja Niepodległości",2.0,3350.0,31.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26533417.html",52.1830301,21.0205854,0.33,M1 - Wilanowska,Mokotów
11 Listopada,"Mieszkanie 2-pokojowe, ul. 11 Listopada",2.0,2700.0,38.84,Praga-Północ,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26600345.html",52.261067,21.0373925,0.56,M2 - Szwedzka,Praga-Północ
Lazurowa,"Mieszkanie umeblowane, ul. Lazurowa",2.0,3700.0,45.0,Bemowo,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26597110.html",52.222438,20.8963416,2.09,M2 - Bemowo,Bemowo
Kotsisa,"Mieszkanie umeblowane, ul. Kotsisa",2.0,3780.0,38.5,Praga-Północ,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-w-zabudowie/26250849.html",52.2773178,21.0144287,1.98,M2 - Bródno,Praga-Północ
Budki Szczęśliwickie,"Mieszkanie umeblowane, ul. Budki Szczęśliwickie",5.0,8500.0,120.0,Włochy,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/25428066.html",52.2085443,20.936825,3.44,M2 - Ulrychów,Włochy
Mieszkanie umeblowane,Mieszkanie umeblowane,2.0,3200.0,39.0,Niedźwiadek,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26621810.html",,,,,Niedźwiadek
Wronia,"Mieszkanie z garażem, ul. Wronia",4.0,8500.0,103.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m4,z-oddzielna-kuchnia/26633204.html",52.232145,20.986012,0.32,M2 - Rondo Daszyńskiego,Wola
Ogrodowa,"Apartament z garażem, ul. Ogrodowa",2.0,3800.0,45.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/25809168.html",52.2395897,20.9912769,0.85,M1/M2 - Świętokrzyska,Śródmieście
Wielicka,"Apartament z garażem, ul. Wielicka",3.0,8500.0,125.0,Mokotów,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/23205686.html",52.1852718,21.0213215,0.52,M1 - Wierzbno,Mokotów
Aleja Jana Pawła II,"Apartament z garażem, Aleja Jana Pawła II",3.0,5500.0,80.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26660727.html",52.2554337,20.9823874,0.94,M1 - Dworzec Gdański,Śródmieście
Sienna,"Apartament z garażem, ul. Sienna",2.0,4100.0,50.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26660610.html",52.2321587,21.002601,0.23,M2 - Rondo ONZ,Wola
Piaseczyńska,"Mieszkanie umeblowane, ul. Piaseczyńska",2.0,2800.0,50.0,Sielce,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26648359.html",52.1913339,21.0317048,0.96,M1 - Wierzbno,Mokotów
Bora-Komorowskiego,"Mieszkanie umeblowane, ul. Bora-Komorowskiego",3.0,3800.0,55.0,Gocław,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26499503.html",52.2252019,21.0918125,4.12,M2 - Stadion Narodowy,Praga-Południe
Mikrokawalerka Warszawa,Mikrokawalerka Warszawa,1.0,2400.0,24.5,Włochy,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26640452.html",,,,,Włochy
Bohdanowicza,"Apartament z garażem, ul. Bohdanowicza",4.0,6000.0,105.0,Ochota,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m4,z-aneksem-kuchennym/26648362.html",52.2001229,20.9764,2.35,M1 - Pole Mokotowskie,Ochota
Międzynarodowa,"Mieszkanie umeblowane, ul. Międzynarodowa",1.0,2600.0,37.0,Praga-Południe,"https://warszawa.nieruchomosci-online.pl/mieszkanie,kawalerka,z-kuchnia-z-oknem/26593007.html",52.2450182,21.0598664,1.13,M2 - Stadion Narodowy,Praga-Południe
Mochtyńska,"Apartament z garażem, ul. Mochtyńska",2.0,2700.0,46.0,Kobiałka,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-kuchnia-w-zabudowie/26592587.html",52.3515424,21.0388373,6.57,M2 - Bródno,Białołęka
Sierakowskiego,"Apartament 2-pokojowy, ul. Sierakowskiego",2.0,4600.0,50.0,Stara Praga,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m2,z-aneksem-kuchennym/26648358.html",52.2500673,21.0318837,0.5,M2 - Dworzec Wileński,Praga-Północ
Budrysów,"Mikrokawalerka, ul. Budrysów",1.0,2400.0,19.0,,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26664056.html",52.2371565,21.0915669,3.46,M2 - Stadion Narodowy,
Korkowa,"Mieszkanie umeblowane, ul. Korkowa",3.0,2900.0,47.0,Wawer,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,przy-lesie/26664588.html",52.2372206,21.1425442,6.84,M2 - Stadion Narodowy,Wawer
Grzybowska,"Apartament z garażem, ul. Grzybowska",3.0,25000.0,142.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26645865.html",52.2355815,20.9954807,0.4,M2 - Rondo ONZ,Śródmieście
Słomińskiego,"Mieszkanie umeblowane, ul. Słomińskiego",4.0,5900.0,128.0,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26568986.html",52.2593955,21.0055051,0.7,M1 - Dworzec Gdański,Śródmieście
Przeworska,"Apartament z garażem, ul. Przeworska",3.0,4280.0,70.68,Praga-Południe,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/23667973.html",52.2537276,21.081552,2.59,M2 - Targówek Mieszkaniowy,Praga-Południe
Przy Parku,"Mieszkanie z ogródkiem, ul. Przy Parku",4.0,13000.0,109.0,Ochota,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/25084776.html",52.2044784,20.9553246,3.33,M2 - Płocka,Ochota
Francuska,"Mieszkanie umeblowane, ul. Francuska",3.0,6500.0,85.0,Praga-Południe,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/25116475.html",52.2317759,21.0557167,1.92,M2 - Centrum Nauki Kopernik,Praga-Południe
Magazynowa,"Apartament z garażem, ul. Magazynowa",3.0,5000.0,53.0,Służew,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/26399959.html",52.1843218,21.0049061,1.06,M1 - Wierzbno,Mokotów
Książęca,"Apartament z garażem, ul. Książęca",3.0,10000.0,84.22,Śródmieście,"https://warszawa.nieruchomosci-online.pl/mieszkanie-w-apartamentowcu,wysoki-standard/26630813.html",52.2299162,21.0257593,0.92,M2 - Nowy Świat-Uniwersytet,Śródmieście
Kazimierza Wielkiego,"Mieszkanie umeblowane, ul. Kazimierza Wielkiego",4.0,5500.0,98.0,Włochy,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m4,z-aneksem-kuchennym/26655308.html",52.1889752,20.9542116,4.12,M1 - Racławicka,Włochy
Wolska,"Mieszkanie umeblowane, ul. Wolska",3.0,3900.0,84.95,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,m3,z-kuchnia-z-oknem/26660786.html",52.228927,20.9501263,1.23,M2 - Księcia Janusza,Wola
stacja metra Księcia Janusza,"Mieszkanie umeblowane, stacja metra Księcia Janusza",3.0,5000.0,69.0,Wola,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-aneksem-kuchennym/26564137.html",,,,,Wola
Apartament z garażem,Apartament z garażem,3.0,4000.0,69.71,Bemowo,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26629989.html",,,,,Bemowo
Nowowiejska,"Mieszkanie umeblowane, ul. Nowowiejska",4.0,7900.0,85.1,Filtry,"https://warszawa.nieruchomosci-online.pl/mieszkanie,z-kuchnia-z-oknem/26536499.html",52.2198522,21.0174244,0.19,M1 - Politechnika,Ochota
Aleje Jerozolimskie,"Apartament 2-pokojowy, Aleje Jerozolimskie",2.0,3000.0,37.5,Stare Włochy,"https://warszawa.nieruchomosci-online.pl/mieszkanie,na-wynajem/26621888.html",52.2163542,20.9608778,1.96,M2 - Płocka,Włochy
